,Month,Indicator, Albaha, Alqassim, Aseer, Eastern, Hail, Jazan, Jouf, Madinah, Makkah, Najran, Northern Borders, Riyadh, Tabuk, Grand Total,المؤشر, الشهر,
,,Tourists Spending (SAR),"3,972,836","33,448,458","53,598,216","904,969,451","95,752,115","2,087,172","19,718,337","177,304,171","2,875,529,535","10,190,991","30,925,270","694,316,744","72,651,461","4,974,464,757",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),"8,195","11,529","28,407","551,505","26,448",822,"19,362","17,603","1,152,097","1,782","38,294","243,809","9,380","2,109,233",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"21,871,808","24,669,993","79,966,413","866,500,878","100,630,816","1,950,902","31,576,133","46,789,960","4,929,508,497","5,525,818","52,286,132","768,930,010","22,410,131","6,952,617,493",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),"3,031","14,391","17,876","418,936","29,867",,"15,241","26,114","1,247,842","1,391","33,270","223,916","8,043","2,039,918",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"7,814,898","31,862,196","53,418,467","656,262,415","134,883,214",,"16,670,125","81,803,834","5,943,337,059","3,069,800","46,226,108","740,446,923","19,595,683","7,735,390,722",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),"1,703","4,564","15,924","381,644","25,985",22,"15,652","20,445","1,483,480",113,"27,739","203,939","9,829","2,191,039",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"4,564,939","9,064,019","41,483,524","693,282,396","137,343,800","55,221","21,280,273","60,343,104","7,512,414,816","640,396","30,732,898","629,187,683","19,084,528","9,159,477,599",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),415,"9,421","14,522","369,116","19,992","1,027","18,495","12,421","1,534,464",955,"36,908","211,546","8,276","2,237,558",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"773,543","13,978,074","43,269,678","864,196,339","93,082,466","1,984,862","34,714,457","22,243,284","7,911,160,991","3,119,208","41,978,482","742,074,158","17,471,855","9,790,047,399",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),2,"16,461","21,416","525,743","23,290","1,424","26,391","30,347","1,862,357","4,403","30,590","342,648","17,717","2,902,789",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),"3,457","26,791,195","46,901,526","727,010,493","78,485,970","2,549,193","25,977,610","53,580,052","8,702,624,920","6,261,876","25,657,469","890,275,872","43,081,584","10,629,201,218",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),"16,257","126,253","186,905","5,667,364","357,820","14,850","196,708","321,068","17,014,574","17,390","356,241","3,010,057","138,049","27,423,536",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"43,307,211","288,312,993","823,071,590","11,037,346,612","2,273,068,409","45,991,851","437,530,492","1,337,479,732","111,487,238,562","42,210,583","535,539,801","12,541,560,216","341,320,768","141,233,978,818",إنفاق السياح (ريال),,
