"avatarUrl","checkinDate","checkoutDate","countryCode","countryName","customerType","guestTypeTranslation","helpfulVotesCount","hotelId","isApproved","negativeText","numNights","photos/0/__typename","photos/0/id","photos/0/kind","photos/0/urls/0/__typename","photos/0/urls/0/size","photos/0/urls/0/url","photos/0/urls/1/__typename","photos/0/urls/1/size","photos/0/urls/1/url","photos/0/urls/2/__typename","photos/0/urls/2/size","photos/0/urls/2/url","photos/1/__typename","photos/1/id","photos/1/kind","photos/1/urls/0/__typename","photos/1/urls/0/size","photos/1/urls/0/url","photos/1/urls/1/__typename","photos/1/urls/1/size","photos/1/urls/1/url","photos/1/urls/2/__typename","photos/1/urls/2/size","photos/1/urls/2/url","photos/2/__typename","photos/2/id","photos/2/kind","photos/2/urls/0/__typename","photos/2/urls/0/size","photos/2/urls/0/url","photos/2/urls/1/__typename","photos/2/urls/1/size","photos/2/urls/1/url","photos/2/urls/2/__typename","photos/2/urls/2/size","photos/2/urls/2/url","photos/3/__typename","photos/3/id","photos/3/kind","photos/3/urls/0/__typename","photos/3/urls/0/size","photos/3/urls/0/url","photos/3/urls/1/__typename","photos/3/urls/1/size","photos/3/urls/1/url","photos/3/urls/2/__typename","photos/3/urls/2/size","photos/3/urls/2/url","photos/4/__typename","photos/4/id","photos/4/kind","photos/4/urls/0/__typename","photos/4/urls/0/size","photos/4/urls/0/url","photos/4/urls/1/__typename","photos/4/urls/1/size","photos/4/urls/1/url","photos/4/urls/2/__typename","photos/4/urls/2/size","photos/4/urls/2/url","positiveText","reviewScore","reviewedDate","roomId","roomName","title","username"
"https://lh3.googleusercontent.com/a-/AOh14GjxwCoPlX4xEm4lmFA2SyBTEQkgCoL4mx-psnUdGQ=s96-c","2024-10-17","2024-10-19","sa","Saudi Arabia","FAMILIES","Family","","11206034","true","Just in bathroom water nor going properly for bath","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"room and service provided by them","9","10/20/2024, 7:49:11 PM","1120603408","Economy Double Room","Excellent","Bhaimia"
"https://xx.bstatic.com/static/img/review/avatars/ava-y.png","2024-12-25","2024-12-30","sa","Saudi Arabia","COUPLES","Couple","","10311731","true","Nothing.","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everything is close by no need to drive, the location is so perfect.","10","12/31/2024, 3:25:25 PM","1031173106","Standard Twin Room","Perfect place clean hotel and friendly staff.","Yao"
"https://graph.facebook.com/v2.9/3491076051218268/picture?type=square&height=64&width=64","2025-02-04","2025-02-05","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","","10311731","true","Nothing.","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everything was good. From the moment I arrived for check in until the check out.
Good customer service staff - Basil was on reception. Muhammad Usman was the service staff.

Smooth check in, pleasant staff, room and facilities were quite good and spacious, nice restaurant, great breakfast with good varieties matching good service.
10 out of 10 points from my side, expecting the staff to keep up the same level of service. 
My suggestion for hotel management, price is good. Do not increase.","10","2/6/2025, 9:19:18 AM","1031173101","Standard King Room","I am happy. Thank you.","Saad"
"https://lh3.googleusercontent.com/a/AGNmyxb_tE5PG8JpMTY5KxH8sIfCbyin7kL9oKzqI6oThw=s96-c","2025-01-28","2025-01-29","sa","Saudi Arabia","FAMILIES","Family","","10311731","true","The toilet is too low for old people 
The hot water is little","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 location 
2 price 
3 Breakfast 
4 Hygiene 
5 staff","10","1/29/2025, 7:04:40 PM","1031173105","Family Suite","As comfy as own home","Dr"
"https://xx.bstatic.com/static/img/review/avatars/ava-m.png","2025-01-22","2025-01-26","ae","United Arab Emirates","SOLO_TRAVELLERS","Solo traveler","","10311731","true","Nothing.everything was excellent","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Breakfast was good. Staff managing the rest where warm and friendly","10","1/27/2025, 5:58:16 PM","1031173101","Standard King Room","Will definitely go back to Casa Diora Hotel on my next visit to Jeddah","Mamman"
"https://lh6.googleusercontent.com/--Dp42rx1dSo/AAAAAAAAAAI/AAAAAAAAAxc/Cr2OrME3j_Y/photo.jpg?sz=50","2025-01-24","2025-01-25","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","1","10311731","true","Nothing","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Every thing","10","1/25/2025, 7:21:07 PM","1031173106","Standard Twin Room","Excellent","Abdulkareem"
"https://lh4.googleusercontent.com/-_jCTxTkoHzc/AAAAAAAAAAI/AAAAAAAAGzI/nf7UHnSjZeU/photo.jpg?sz=50","2025-01-22","2025-01-23","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","","10311731","true","Restaurant.","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Car,s parking,  room,s  space and the cleanliness","9","1/25/2025, 5:09:41 PM","1031173101","Standard King Room","Comfortable","Hany"
"https://graph.facebook.com/v2.9/10155024542172498/picture?type=square&height=64&width=64","2024-11-06","2024-11-07","sa","Saudi Arabia","COUPLES","Couple","","10311731","true","","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Very nice","9","1/19/2025, 3:08:10 PM","1031173101","Standard King Room",,"Osama"
"https://lh4.googleusercontent.com/-VTrtGOILM9Q/AAAAAAAAAAI/AAAAAAAAU5o/ppQHhhlPKio/photo.jpg?sz=50","2024-12-22","2024-12-23","et","Ethiopia","FAMILIES","Family","","10311731","true","For the price, would have expected breakfast to be included","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good location by food street","9","1/19/2025, 12:13:15 PM","1031173105","Family Suite",,"Timaish"
"https://lh6.googleusercontent.com/--Dp42rx1dSo/AAAAAAAAAAI/AAAAAAAAAxc/Cr2OrME3j_Y/photo.jpg?sz=50","2025-01-14","2025-01-15","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","","10311731","true","Nothing","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everything","10","1/18/2025, 5:47:14 AM","1031173101","Standard King Room","Excellent","Abdulkareem"
